GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38
1400000US36047027500,36047027500,"Census Tract 275, Kings County, New York",4143,506,3529,443,293,207,192,139,101,95,61,58,61,58,0,11,17,25,17,25,0,11,27,26,10,16,17,21,88,130,39,63,49,68,0,11,0,11,0,11,22,24,11,16,11,17,0,11,0,11,0,11,0,11,0,11,0,11,21,23,9,15,12,18,38,62,0,11,38,62,47,74,47,74,0,11
1400000US36047027600,36047027600,"Census Tract 276, Kings County, New York",3858,464,634,258,896,457,297,205,599,316,0,11,0,11,0,11,7,11,7,11,0,11,583,350,91,61,492,340,493,261,113,125,380,205,0,11,0,11,0,11,1197,308,304,133,893,237,0,11,0,11,0,11,31,54,20,35,11,19,0,11,0,11,0,11,0,11,0,11,0,11,17,28,9,14,8,14
1400000US36047027700,36047027700,"Census Tract 277, Kings County, New York",4352,466,3978,468,243,158,199,154,44,39,84,90,84,90,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,3,0,11,1,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,46,53,26,31,20,30
1400000US36047027800,36047027800,"Census Tract 278, Kings County, New York",3228,311,1059,239,175,173,37,40,138,157,24,54,24,54,0,11,0,11,0,11,0,11,499,198,168,96,331,160,429,243,147,83,282,195,10,15,10,15,0,11,830,244,167,115,663,223,57,65,40,45,17,27,0,11,0,11,0,11,40,61,20,30,20,31,72,93,28,42,44,52,33,45,29,40,4,13
1400000US36047027900,36047027900,"Census Tract 279, Kings County, New York",3779,486,3201,457,306,206,155,107,151,142,53,51,53,51,0,11,64,63,63,63,1,2,0,11,0,11,0,11,25,38,12,19,13,19,0,11,0,11,0,11,11,13,0,11,11,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,119,174,101,145,18,29
1400000US36047028000,36047028000,"Census Tract 280, Kings County, New York",1584,144,440,91,163,109,65,41,98,97,10,11,4,7,6,8,0,11,0,11,0,11,230,94,88,51,142,58,150,91,49,39,101,81,0,11,0,11,0,11,590,101,218,83,372,74,0,11,0,11,0,11,0,11,0,11,0,11,1,2,1,2,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36047028100,36047028100,"Census Tract 281, Kings County, New York",4410,458,2865,378,1361,393,657,190,704,283,7,12,0,11,7,12,25,31,25,31,0,11,18,20,18,20,0,11,28,43,15,23,13,20,0,11,0,11,0,11,65,76,27,32,38,59,0,11,0,11,0,11,41,67,41,67,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36047028200,36047028200,"Census Tract 282, Kings County, New York",3118,322,801,223,125,99,104,90,21,28,0,11,0,11,0,11,19,30,19,30,0,11,849,321,244,123,605,264,159,105,67,68,92,71,27,44,11,18,16,26,929,325,319,122,610,232,0,11,0,11,0,11,56,93,56,93,0,11,36,59,0,11,36,59,84,121,44,59,40,62,33,39,33,39,0,11
1400000US36047028300,36047028300,"Census Tract 283, Kings County, New York",3814,505,2192,442,1184,341,660,239,524,295,85,71,76,68,9,15,182,266,170,265,12,25,11,23,0,11,11,23,0,11,0,11,0,11,0,11,0,11,0,11,51,45,0,11,51,45,0,11,0,11,0,11,0,11,0,11,0,11,22,35,22,35,0,11,0,11,0,11,0,11,87,121,87,121,0,11
1400000US36047028400,36047028400,"Census Tract 284, Kings County, New York",3451,327,779,218,215,200,8,13,207,200,10,16,10,16,0,11,0,11,0,11,0,11,767,197,291,95,476,155,358,177,135,86,223,107,41,60,20,29,21,31,1052,264,340,120,712,238,11,16,11,16,0,11,0,11,0,11,0,11,87,79,32,38,55,50,96,87,38,46,58,79,35,30,21,20,14,12
1400000US36047028501,36047028501,"Census Tract 285.01, Kings County, New York",401,163,143,65,203,152,89,52,114,118,8,15,0,11,8,15,0,11,0,11,0,11,26,33,19,30,7,14,21,16,21,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36047028502,36047028502,"Census Tract 285.02, Kings County, New York",2563,226,1522,207,960,192,580,177,380,137,29,47,29,47,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,52,83,0,11,52,83,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
